Date,Description
2026-08-19,"Completely finished artifact values, Sustained tab, Swap tab, and Abilities tab. Moved a bunch of old tabs into archive. Added Burning Ambition Terciopelo-4bl to Sustained tab."
2026-08-18,Finished Abilities tab completely and updated artifact info in Weapons/Abilities tabs.
2026-08-17,Finished Abilities tab minus artifact testing and Hammer of Sol shrapnel with Shieldcrush.
2026-08-16,"Finished warlock, hunter, and almost all titan abilities in Abilities tab."
2026-08-14,Finished almost all warlock abilities in Abilities tab.
2026-08-12,Added Main Ingredient to Sustained tab.
2026-08-11,Added tentative Duality swap exploit row to Sustained tab.
2026-08-08,"Added Lament 2L1H, Incendiary Rifle Rounds + Solar Fulmination entries, Omniscient Eye, Heretic, and Cull's Shadow melee to Sustained tab."
2026-07-30,Finished non-ability entries in Sustained tab.
2026-07-29,"Completely finished Weapons tab, updated half of new Sustained tab."
2026-07-23,Finished base value entries for all weapons except Lucky Pants / Peacekeepers options.
2026-07-02,Finished legendary archetypes in new Weapons tab (for the second time).
2026-06-25,"Began work on constructing the final structure of the entire sheet, beginning with new Weapons tab."
2026-03-12,Added Something Something to Sustained tab.
2026-03-03,Added Hellion to Swap tab.
2026-02-01,Added New Land Beyond holster swap to Swap tab.
2026-01-30,Added Shattershafts chunking to Historical tab.
2026-01-29,Updated chunking values for every relevant Weapons tab entry.
2026-01-22,"Added Contraverse chunking to Sustained tab and Historical tab, added pre-additive Verity grapples to Historical tab."
2026-01-08,Updated New Land Beyond reserves in Sustained tab.
2026-01-05,Updated bolt values in Weapons tab.
2025-12-21,Updated New Malpais value in Weapons and Sustained tab.
2025-12-17,Added Heirloom and Praxic Blade to Weapons and Sustained tab.
2025-12-16,Updated Golden Gun Nighthawk and Needlestorm Mataiodoxia values in Abilities and Swap tabs.
2025-12-14,Added Equilibrium legendary archetypes to Weapons tab and Sustained tab. Added Equilibrium bosses to Bosses tab.
2025-12-08,Fixed Wolfsbane total in Sustained tab.
2025-12-07,Added Winter's Wrath cancel cycle to Abilities and Swap tab.
2025-12-04,Added and updated everything from this: https://www.bungie.net/7/en/News/Article/destiny_update_9_5_0
2025-12-01,Added and updated Fireteam (S27) and Graphing (S27) tabs.
2025-11-26,Added some Renegades weapons to Sustained and Swap tabs.
2025-11-23,Updated Sustained and Swap tabs with new base values.
2025-11-22,Finalized Weapons and Abilities tabs for The Edge of Fate.
2025-11-11,"Added spread shot Cascade Point entry to Weapons tab, retired Tracker tab."
2025-10-31,Finished Weapons tab.
2025-10-22,Changed Arcane Embrace entry to use e. Aggregate Charge instead of e. Precision Instrument in Sustained tab.
2025-10-17,Fixed dungeon 1 phase DPS values to account for 3 player instead of 6 player fireteam size.
2025-10-15,Added include/exclude distinction for Tessellation values in Swap tab.
2025-10-10,Updated Wolfsbane rows and added Outbreak modifier to Sustained tab.
2025-10-08,"Updated Hellion, Arc Soul, and Ionic Sentry values in Sustained tab."
2025-10-07,"Added Wolfsbane to Weapons, Sustained, and Swap tabs."
2025-09-25,"Finished Day 1 DPS tabs, video soon."
2025-09-24,Added Day 1 (S27) tabs and updated with titan rotations.
2025-09-21,Updated Sustained and Swap tabs with new Temporal Blast values (and appropriate Armaments comparisons). Removed melee stat stacking with seasonal super entries in Swap tab.
2025-09-19,"Added phase lengths to Desert Perpetual bosses in Bosses tab, also finished clearable DPS column."
2025-09-17,Added ammoless aerial lightweight swords to Historical tab.
