WEAPON,,,INFO,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Unforgiven,29,Void,Aggressive,Duality,,34,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Destabilizing Rounds
Attrition Orbs","Repulsor Brace
Chaos Reshaped
Dimensional Shift",Bitterspite,"double stagger, AO + Repulsor + artifact-supported volatile, high reload uptime origin",,S
,Multimach CCX,29,Kinetic,Lightweight,Iron Banner,,64,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Attrition Orbs
Bewildering Burst
Stopping Power",Kinetic Tremors,Skulking Wolf,"classic AO + KT combo, good frame, solid origin, not particularly splashy though",,S
,The Recluse,29,Void,Lightweight,Onslaught,,67,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Dimensional Shift","Destabilizing Rounds
Chaos Reshaped",Indomitability,"would be the best SMG in the game with Attrition Orbs, still very solid neutral combos and origin though",,S
,Yeartide Apex,27,Solar,Lightweight,Tenet of Bravery,,69,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Heal Clip","Incandescent
Chaos Reshaped
Burning Ambition",Tex Balanced Stock,"Multimach equivalent in the energy slot, just worse origin trait and no KT equivalent",,S
,The Title,29,Void,Aggressive,Tenet of Bravery,,34,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Repulsor Brace,"Destabilizing Rounds
Surrounded",Classy Contender,"worse than the upper S void SMGs, but still has core combo on decent frame",,S
,Bug-Out Bag,29,Void,Adaptive,Gambit,,42,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Attrition Orbs",Destabilizing Rounds,Gun and Run,"worse origin than The Title but has AO access if willing to drop Repulsor, bad origin though",,S
,Submission,29,Kinetic,Lightweight,Vow of the Disciple,,65,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Kinetic Tremors,Chaos Reshaped,Souldrinker,"novel perk combo but no AO utility, good origin though",,S
,"M-17 ""Fast Talker""",28,Stasis,Balanced,Lawless Frontier,,69,Yes,"Fluted Barrel
Arrowhead Brake",Enhanced Heatsink,Attrition Orbs,Crystalline Corpsebloom,Accelerated Assault,stasis-focused Multimach alternative with better mag uptime,,S
,Vikala SMG4,29,Void,Balanced,SRL,,66,Yes,"Fluted Barrel
Arrowhead Brake",Enhanced Heatsink,Dimensional Shift,"Destabilizing Rounds
Attrition Orbs
Chaos Reshaped",Omolon Fluid Dynamics,"no Repulsor but Dimensional is decent if artifact-supported, bad origin but good otherwise",,A
,Every Waking Moment,29,Void,Precision,Moon,,21,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Destabilizing Rounds","Meganeura
Demoralize",Loss,can take Repulsor + Meganeura + artifact volatile for a pretty potent combo despite poor origin/frame,,A
,No Survivors,29,Solar,Aggressive,Ghost of the Deep,,32,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Burning Ambition
Heal Clip",Incandescent,Restoration Ritual,"only SMG with Burning + Incandescent, otherwise origin isn't great and frame is suboptimal",,A
,Parabellum,29,Solar,Adaptive,EDZ,,44,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Heal Clip,"Incandescent
Attrition Orbs
Burning Ambition",Veteran's Wisdom,"great new origin trait, classic solar sustain combos, has HC + AO in separate slots",,A
,Imminence,29,Strand,Lightweight,Salvation's Edge,,70,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Tear
Slice","Chaos Reshaped
Hatchling
Firefly",Collective Purpose,"good frame, decent double splash/utility, bad origin though",,A
,Shayura's Wrath,29,Void,Precision,Trials,,24,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Demoralize",Destabilizing Rounds,Nadir Focus,has core void combo but origin trait is terrible and frame is too,,A
,Peculiar Charm,28,Kinetic,Aggressive Burst,Competitive,,43,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Attrition Orbs
Stopping Power
Shoot to Loot","Kinetic Tremors
Firefly",None,"double stagger via Stopping Power, unique option but worse with AO than Multimach",,A
,MIDA Mini-Tool,27,Solar,MIDA Synergy,"Tenet of Bravery, Banshee",,70,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Heal Clip","Incandescent
Burning Ambition",Vanguard Determination,just worse than Yeartide in every way besides origin,,A
,"No Survivors
RotN version",26,Solar,Aggressive,Rite of the Nine,,32,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Heal Clip",Incandescent,Gravity Well,"better origin than original, but no unique Burning Ambition roll",,A
,Synchronic Roulette,29,Strand,Precision,Neomuna,,24,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Attrition Orbs,"Chaos Reshaped
Hatchling",Nanotech Tracer Missiles,"besides frame, excellent single target SMG setup",,A
,Adjudicator,29,Kinetic,Precision,Prophecy,,30,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Attrition Orbs,Kinetic Tremors,Crossing Over,"classic AO + KT combo, but bad frame means slower AO procs, no perk diversity, bad origin",,A
,Noxious Vetiver,25,Arc,Precision,"Xur, Kell's Fall?",,22,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Attrition Orbs,Jolting Feedback,Dark Ether Reaper,"similar situation as Adjudicator, bad frame but great perk combo, solid origin",,A
,Out of Bounds,29,Arc,Lightweight,Crucible,,47,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Voltshot,Jolting Feedback,Accelerated Assault,"double splash on arc, no sustain but high mag uptime due to origin\",,A
,Gunburn,27,Kinetic,Lightweight,Tenet of Bravery,,60,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Bewildering Burst
Lead from Light","Kinetic Tremors
Ancillary Ordinance",Veist Stinger,"questionable first column, otherwise decent besides origin being a little underwhelming",,A
,Forensic Nightmare,29,Stasis,Precision,Throne World,,24,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Attrition Orbs
Rimestealer",Crystalline Corpsebloom,Psychohack,arguably better than Unending Tempest due to origin trait and high-cal access,,A
,Unending Tempest,29,Stasis,Precision,Crucible,,44,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Attrition Orbs,"Crystalline Corpsebloom
Chaos Reshaped
Headstone",Accelerated Assault,"AO + splash and potentially also Chaos option, bad frame but otherwise quite good",,A
,Perfect Pitch,29,Solar,Precision,Solo Ops,,21,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Heal Clip,Incandescent,Vanguard Determination,"worst frame and very one-dimensional, but still has core solar sustain combo",,A
,DEADHORSE 04,29,Stasis,Adaptive,Distortions,,43,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Rimestealer
Impromptu Ammunition",Crystalline Corpsebloom,Carrion Munitions,basically a slightly better Seraphine Haze,,A
,Seraphine Haze,27,Stasis,Aggressive,"Tenet of Bravery, Zavala",,36,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Rimestealer,Crystalline Corpsebloom,Tenacity,"classic stasis combo, Crystalline more appropriate on SMG, decent frame and good origin",,A
,Whatchamacallit,29,Arc,Aggressive Burst,Pinnacle Ops,,42,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Collective Pugilism
Enlightened Action","Jolting Feedback
Gear Shift",Accelerated Assault,"solid frame, great origin, has JF access, only downside is bad 1st column",,B
,Antedate,27,Arc,Adaptive,Desert Perpetual,,42,Yes,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine","Rolling Storm
Dragonfly
Rewind Rounds",Jolting Feedback,Frame of Reference,"weaker double splash, decent origin and frame",,B
,The Hero's Burden,29,Void,Adaptive,Iron Banner,,43,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Feeding Frenzy,Destabilizing Rounds,Skulking Wolf,"better splash perk than Voltshot SMGs, worse reload but decent frame and solid origin",,B
,The Showrunner,22,Kinetic,Lightweight,Xur,,64,No,"Fluted Barrel
Arrowhead Brake","High-Caliber Rounds
Alloy Magazine",Overflow,Kinetic Tremors,Vanguard's Vindication,"no AO, but still a lightweight with KT",,B
,Death Adder,29,Solar,Lightweight,"World, Banshee",,63,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,Heal Clip,Burning Ambition,Veist Stinger,"Burning Ambition only notable SMG 2nd column perk, so a little niche, otherwise okay kit",,B
,Subjunctive,29,Arc,Lightweight,Starcrossed,,63,Yes,"Fluted Barrel
Arrowhead Brake",Alloy Magazine,"Threat Detector
Shoot to Loot",Voltshot,Nano-Munitions,"reload perk + decent splash, great origin, good frame",,B
