WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Vouchsafe,29,Void,Lightweight,Dreaming City,,51,Yes,Fluted Barrel,Alloy Magazine,"Repulsor Brace
Dimensional Shift
Shoot to Loot","Destabilizing Rounds
Explosive Payload
Withering Gaze",Advanced Reflexes,"every void perk you would want on a scout, just not the best frame and origin",1,S
,Voltaic Shade,28,Arc,Balanced (260RPM),Equilibrium,,59,Yes,Fluted Barrel,Enhanced Heatsink,"Jolting Feedback
Shoot to Loot","Meganeura
Voltshot",Imperial Allegiance,"pretty lethal perk combo, very fast jolt, just no sustain or unique utility",2,S
,Unworthy,29,Arc,Rapid,Sundered Doctrine,,51,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Firefly,"Voltshot
Gear Shift",Subjugation,"great double splash, especially for long range precision, excellent origin and good frame",3,S
,Trustee,29,Solar,Rapid,Deep Stone Crypt,,56,Yes,Fluted Barrel,Alloy Magazine,"Heal Clip
Reconstruction","Incandescent
Meganeura
Burning Ambition",Bray Inheritance,"unique Bray + Incandescent ticks interaction, otherwise pretty solid as well",4,S
,Doom of Chelchis,29,Void,Precision,King's Fall,,54,Yes,Fluted Barrel,Alloy Magazine,"Destabilizing Rounds
Firefly
Demoralize","Repulsor Brace
Meganeura
Withering Gaze
",Runneth Over,"has classic void combo but can also opt to drop Destab for artifact-based volatile, a shame about the frame",5,S
,Pointed Inquiry,29,Void,High-Impact,Throne World,,48,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Repulsor Brace
Shoot to Loot","Demoralize
Dragonfly",Psychohack,"double stagger, access to volatile through artifact, good origin",6,S
,No Feelings,29,Arc,Precision,Arena Ops,,56,Yes,Fluted Barrel,Alloy Magazine,Voltshot,"Meganeura
Gear Shift
Explosive Payload",Forge's Kin,"same roll as Voltaic Shade, better origin and worse archetype",7,A
,Fang of Ir Yût,29,Strand,Rapid,Crota's End,,60,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Tear
Slice
Shoot to Loot","Meganeura
Hatchling",Cursed Thrall,"pretty solid overall, just worse frame than Scholar and awkward origin trait for a scout",8,A
,The Scholar,29,Strand,High-Impact,Trials,,50,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Firefly
Shoot to Loot","Tear
Hatchling
Explosive Payload",Wild Card,"double stagger, best frame, good perk spread for a strand option, okay origin",9,A
,Hung Jury SR4,29,Kinetic,Precision,Onslaught,,60,Yes,Fluted Barrel,Alloy Magazine,"Kinetic Tremors
Shoot to Loot","Firefly
Ancillary Ordinance
Explosive Payload",Indomitability,"decent double kinetic splash, has StL + EP option, just bad frame",10,A
