WEAPON,,INFO,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Word of Crota,22,Void,Precision,52,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Repulsor Brace
Dragonfly",Destabilizing Rounds,Cursed Thrall,"great frame, excellent perks, amazing origin",1,S
,Posterity,12,Arc,Precision,53,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Voltshot,"Frenzy
Redirection",Bray Inheritance,"great frame, splash + damage, solid origin",2,S
,Modified B-7 Pistol,28,Stasis,Dynamic (180RPM),54,Yes,Fluted Barrel,"Light Heatsink
Overclocked Heatsink","Firefly
Rimestealer
Rapid Hit","Headstone
Crystalline Corpsebloom",Accelerated Assault,better version of Solemn Remembrance with Crystalline access,3,S
,Aureus Neutralizer,27,Kinetic,Spread Shot,60,Yes,Barrel Shroud,"Flared Magwell
Alloy Magazine","Vorpal Weapon
Grave Robber","Cascade Point
One-Two Punch
Trench Barrel",Häkke Breach Armaments,"BiS LP damage option, decent for neutral too",4,A
,Sightline Survey,24,Arc,Precision,52,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Enlightened Action,Voltshot,Radiolaria Transposer,doesn't scale as well as Posterity into upper-tier content,5,A
,Agape,27,Solar,Heavy Burst,55,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine
Appended Mag","Heal Clip
Rewind Rounds","Incandescent
Firefly
Precision Instrument",Exhaustive Research,"best energy slot heavy burst LP option, good neutral perks too",6,A
,Corundum Hammer,28,Strand,Adaptive,51,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine
Tactical Mag","Firefly
Slice
Shoot to Loot","Tear
Explosive Payload
Elemental Honing",Fleet Footed,"Vulpecula replacement, cool double splash combo too, okay archetype",7,A
,Exalted Truth,26,Void,Adaptive,58,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Destabilizing Rounds,"Repulsor Brace
One for All
Demoralize",One Quiet Moment,"solid Void combo + OFA option, subjective archetype",8,A
,Unloved,26,Strand,Heavy Burst,60,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine
Appended Mag","Rapid Hit
Dragonfly
Hatchling","Elemental Honing
Frenzy",Subjugation,"amazing origin, splash + damage option as well",9,A
,Solemn Remembrance,27,Stasis,Precision,55,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Headstone,"Firefly
Rimestealer",None,only held back slightly by archetype and lack of origin,10,A
,Ancient Gospel,25,Void,Adaptive,57,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Destabilizing Rounds,Explosive Payload,Photoinhibition,interesting pairing with Destabilizing,11,A
,Triple Laureate,28,Stasis,Spread Shot,53,Yes,Barrel Shroud,"Flared Magwell
Alloy Magazine","Crystalline Corpsebloom
Grave Robber","Chaos Reshaped
One-Two Punch",Häkke Breach Armaments,Chaos Reshaped interesting pairing with Crystalline,12,A
,Zaouli's Bane,18,Solar,Adaptive,50,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Explosive Payload,"Incandescent
One for All",Runneth Over,slow reload animation but arguably best perk pairing with EP,13,A
,Sarpedon-D,28,Arc,Spread Shot,52,Yes,Barrel Shroud,"Flared Magwell
Alloy Magazine","Lead From Light
Eddy Current
Trickle Charge","Trench Barrel
One-Two Punch
Rolling Storm
",Accelerated Assault,"lacks universal reload perks, overall just okay",14,A
,Phoneutria Fera,27,Solar,Spread Shot,56,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Threat Remover
Threat Detector
Slideshot","Incandescent
One-Two Punch
Surrounded",Tenacity,"solid damage profile at close ranges, good show of archetype potential",15,A
,Midnight Coup,23,Kinetic,Adaptive,60,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Firefly
Shoot to Loot
Explosive Payload","Kinetic Tremors
Frenzy
One for All",Indomitability,"KT not that appealing on HCs, otherwise decent",16,A
,Fatebringer,26,Kinetic,Adaptive,53,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Explosive Payload
Kinetic Tremors","Firefly
One for All
Frenzy",Timelost Magazine,"classic EP + Frenzy/Firefly combo, still pretty decent",17,A
,Maahes HC4,24,Void,Heavy Burst,50,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Repulsor Brace
Enlightened Action","Destabilizing Rounds
Dragonfly",Omolon Fluid Dynamics,held back by awful reload with Void combo,18,A
,Nation of Beasts,21,Arc,Adaptive,51,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Dragonfly
Eddy Current","Voltshot
Explosive Payload",Explosive Pact,double splash on suboptimal archetype,19,B
,Yesterday's Question,25,Arc,Heavy Burst,55,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine
Appended Mag","Dragonfly
Rapid Hit","Voltshot
Vorpal Weapon",One Quiet Moment,"double splash on awkward archetype, also doubles as LP backup",20,B
,Luna's Howl,23,Solar,Precision,60,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Heal Clip
Enlightened Action",Incandescent,Indomitability,"Heal Clip awkward with HC reload, no double splash",21,B
,Bold Endings,24,Stasis,Heavy Burst,49,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Headstone,Dragonfly,Dealer's Choice,like Solemn Remembrance but lower QoL archetype and Dragonfly worse,22,B
,Warden's Law,24,Kinetic,Heavy Burst,52,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine
Appended Mag","Demolitionist
Enlightened Action","Vorpal Weapon
Frenzy",Stunning Recovery,"basically only useful for LP usage, and third best at that",23,B
,Vulpecula,15,Stasis,Precision,52,No,Fluted Barrel,"Flared Magwell
Alloy Magazine
Tactical Mag",Shoot to Loot,"Explosive Payload
Headstone",None,"only StL + EP HC in this slot, no other redeeming qualities",24,B
,Mos Athanor IV,28,Void,Aggressive,52,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Destabilizing Rounds,Demoralize,Accelerated Assault,decent double splash but bad frame with no reload assist,25,C
