WEAPON,,,INFO,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Claws of the Wolf,29,Void,Rapid,Iron Banner,,46,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Repulsor Brace,"Destabilizing Rounds
Attrition Orbs",Skulking Wolf,similar to Gridskipper with better origin,1,S
,Joxer's Longsword,29,Void,Heavy Burst,Crucible,,49,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Repulsor Brace
Dragonfly
Shoot to Loot","Destabilizing Rounds
Demoralize
Withering Gaze",Accelerated Assault,"good origin, great void perk diversity, Withering Gaze access",2,S
,Gridskipper,29,Void,Rapid,"World, Banshee",,55,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Demoralize",Destabilizing Rounds,Splicer Surge,great Void combo + solid origin for this primary type,3,S
,The Martlet,28,Void,Lightweight,Trials,,56,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Firefly
Repulsor Brace",Destabilizing Rounds,Fleet Footed,Gridskipper with worse origin/archetype and Firefly option,4,S
,Nullify,24,Solar,Heavy Burst,Salvation's Edge,,51,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Firefly
Heal Clip
Burning Ambition","Incandescent
Chaos Reshaped
Meganeura",Collective Purpose,"great frame, double splash, diverse perks, just mid origin",5,S
,Veles-X,29,Void,Aggressive Burst,Solo Ops,,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Demoralize","Destabilizing Rounds
Withering Gaze
Firefly",Vanguard Determination,"classic void pairing with Withering access, okay origin and frame",6,S
,High Tyrant,28,Void,Balanced (540RPM),Equilibrium,,58,Yes,"Fluted Barrel
Arrowhead Brake","Light Heatsink
Overclocked Heatsink","Destabilizing Rounds
Repulsor Brace
Loose Change","Meganeura
Demoralize
Frenzy",Imperial Allegiance,shame about Destab in 1st column but good double splash,7,S
,Blast Furnace,29,Kinetic,Aggressive Burst,Onslaught,,55,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Kinetic Tremors
Bewildering Burst
Ancillary Ordinance","Chaos Reshaped
Firefly",Forge's Kin,"decent frame, great double kinetic splash options, okay origin",8,A
,Oversoul Edict,29,Arc,Rapid,Crota's End,,57,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Rolling Storm
Eddy Current","Voltshot
Jolting Feedback
Gear Shift",Cursed Thrall,excellent origin + best frame for Voltshot usage,9,A
,Horror's Least,28,Arc,Rapid,"Tenet of Bravery, Zavala",,56,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Trickle Charge
Supercharged Magazine","Jolting Feedback
Rolling Storm",Accelerated Assault,"fast Jolting activations, unknown reload perk quality",10,A
,Vantage Point,25,Arc,Adaptive,"Xur, Kell's Fall?",,53,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Eddy Current,Jolting Feedback,Dark Ether Reaper,underrated combo of Jolting + great origin,11,A
,All or Nothing,28,Strand,Dynamic (540RPM),Tharsis Outpost,,56,Yes,"Fluted Barrel
Arrowhead Brake","Light Heatsink
Overclocked Heatsink","Firefly
Slice","Tear
Hatchling",Accelerated Assault,like Relentless but new frame and enhancements,12,A
,Infinite Paths 8,29,Arc,Lightweight,"World, Banshee",,55,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Dragonfly
Demolitionist","Voltshot
Rolling Storm",Radiolaria Transposer,"weaker arc double splash, good origin though",13,A
,Corrasion,29,Arc,Heavy Burst,Encore,,52,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Eddy Current
Enlightened Action",Voltshot,Radiolaria Transposer,similar to Oversoul Edict with some small tweaks,14,A
,Premonition,29,Void,High-Impact,"
Moon",,53,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Firefly
Demoralize","Destabilizing Rounds
Meganeura
Withering Gaze",Loss,"basically every good void perk, also gets Withering access, just bad frame",15,A
,Elsie's Rifle,29,Void,High-Impact,Onslaught,,52,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Dimensional Shift
Collective Demolition","Destabilizing Rounds
Demoralize
Frenzy",Indomitability,solid Void combo + decent origin but bad frame,16,A
,The Time-Worn Spire,29,Stasis,Rapid,Iron Banner,,53,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Firefly,"Crystalline Corpsebloom
Headstone
Elemental Honing",Skulking Wolf,probably as good as a stasis pulse gets,17,A
,Jurassic Green,25,Solar,Rapid,?,,47,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Heal Clip
Loose Change",Incandescent,Field-Tested,classic Heal Clip + Incandescent combo on solid frame,18,A
,Adhortative,29,Solar,Adaptive,Starcrossed,,52,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Heal Clip
Attrition Orbs
Shoot to Loot",Incandescent,Nano-Munitions,worse frame than Jurassic but better origin,19,A
,Darkest Before,29,Solar,Rapid,Prophecy,,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Heal Clip
Attrition Orbs","Incandescent
Burning Ambition",Crossing Over,worse origin than Jurassic but similar otherwise,20,A
,Redrix's Estoc,29,Stasis,Legacy PR-55,Competitive,,60,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Firefly
Crystalline Corpsebloom
Rimestealer",Headstone,None,"better perk combo and origin than Hailing, just no origin",21,A
,Hailing Confusion,29,Stasis,Adaptive,Europa,,49,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Headstone
Rimestealer","Crystalline Corpsebloom
Meganeura",Winterized Gear,"double stasis splash combo, bad origin and okay frame",22,A
,Chattering Bone,29,Kinetic,Lightweight,Last Wish,,49,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",,,,,23,A
,The Messenger,29,Kinetic,High-Impact,Trials,,49,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Firefly
Bewildering Burst
Stopping Power","Kinetic Tremors
Ancillary Ordinance",Wild Card,everything great except no AO and bad frame,24,A
,Insidious,29,Arc,Aggressive Burst,Vow of the Disciple,,59,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Rolling Storm
Dragonfly","Voltshot
Chaos Reshaped",Souldrinker,"weaker double splash, decent frame, decent origin",25,A
,Phyllotactic Spiral,29,Arc,High-Impact,Neomuna,,48,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Rapid Hit,Voltshot,Nanotech Tracer Missiles,"no double splash, bad frame, otherwise good",26,A
,Cruel Mercy,29,Arc,Heavy Burst,Zavala,,56,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Dragonfly
Eddy Current
Demolitionist","Rolling Storm
Frenzy",Vanguard Determination,technically double splash on good frame but Rolling Storm is weak,27,A
,Stars in Shadow,27,Solar,High-Impact,"Tenet of Bravery, Shaxx",,49,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Heal Clip
Rapid Hit
Impromptu Ammunition","Incandescent
Burning Ambition",Wild Card,"great perks and origin, just bad frame",28,A
,Battle Scar,29,Kinetic,Lightweight,EDZ,,51,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Shoot to Loot
Enlightened Action",Kinetic Tremors,Veteran's Wisdom,"AO + KT, also has StL, solid origin and archetype",29,B
,Bygones,29,Kinetic,Adaptive,Gambit,,60,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Shoot to Loot
Stopping Power","Kinetic Tremors
Firefly",Gun and Run,"Attrition + KT combo, mid origin",30,B
,Smite of Merain,29,Kinetic,Adaptive,King's Fall,,49,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Bewildering Burst
Ancillary Ordinance",Firefly,Runneth Over,"no AO or KT, otherwise okay",31,B
,Belisarius-D,29,Strand,Aggressive Burst,Competitive,,59,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Dragonfly
Tear
Slice","Hatchling
Firefly",Häkke Breach Armaments,"decent strand double splash, better archetype than Relentless",32,B
,Sacred Provenance,29,Kinetic,Aggressive Burst,Garden of Salvation,,52,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Stopping Power
Rapid Hit","Kinetic Tremors
Firefly",Photoinhibition,decent frame with good reload + enhanced KT,33,B
,BxR-55 Battler,29,Solar,Legacy PR-55,Dares,,60,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Demolitionist
Auto-Loading Holster
Pugilist","Incandescent
Blunt Execution Rounds",Hot Swap,solid loader perks + Incandescent,34,B
,"Relentless
RotN version",26,Strand,High-Impact,Rite of the Nine,,40,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Firefly
Rapid Hit
Slice","Hatchling
Elemental Honing",Gravity Well,"double splash with weaker Strand options, still decent",35,B
,Relentless,29,Strand,High-Impact,Prophecy,,40,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Firefly
Tear
Slice
","Hatchling
Elemental Honing",Crossing Over,essentially identical to RotN version,36,B
,Jorum's Claw,29,Solar,Adaptive,Iron Banner,,56,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Outlaw,Incandescent,Skulking Wolf,okay reload perk + Incandescent on decent frame,37,C
,Stay Frosty,29,Stasis,Lightweight,Tenet of Bravery,,51,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Rimestealer
Enlightened Action",Headstone,Dawning Surprise,classic Stasis combo with decent origin,38,C
,New Purpose,29,Stasis,High-Impact,Duality,,60,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Headstone,"Meganeura
Rimestealer",Bitterspite,decent double splash but bad frame and just okay origin,39,C
,Disparity,29,Stasis,Aggressive Burst,Seraph's Shield,,53,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Rapid Hit,Headstone,Häkke Breach Armaments,"Häkke nice pairing with Headstone, no utility perk in 1st column",40,C
,Psi Hermetic V,22,Stasis,High-Impact,Banshee,,52,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Enlightened Action,"Headstone
Golden Tricorn",Wild Card,good origin and Headstone on bad frame,41,C
,Nightshade,29,Strand,Lightweight,Fireteam Ops,,46,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Slice
Lead from Light",Hatchling,Accelerated Assault,"similar to Last Thursday, decent origin",42,D
,Last Thursday,27,Strand,Adaptive,Kepler,,57,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Demolitionist
Rapid Hit
Strategist","Dragonfly
Hatchling
Elemental Honing",Exhaustive Research,okay 1st column but nothing remarkable in 2nd column,43,D
,Aisha's Care,29,Strand,Heavy Burst,Trials,,51,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine",Slice,Hatchling,Omolon Fluid Dynamics,great archetype but Hatchling quite weak,44,D
,Syncopation-53,29,Stasis,Adaptive,Banshee,,45,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Outlaw
Compulsive Reloader",Headstone,Suros Synergy,Headstone with everything else mediocre,45,D
,Different Times,29,Strand,Rapid,Xur,,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Outlaw,Hatchling,Unsated Hunger,Hatchling generally worse than Headstone above,46,E
,Ogma PR6,29,Solar,Lightweight,Banshee,,45,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Demolitionist,Dragonfly,Omolon Fluid Dynamics,only Dragonfly and okay loader perk,47,E
,Outlast,21,Solar,Rapid,Xur,,47,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Stats for All
Outlaw",Dragonfly,Disaster Plan,only Dragonfly and mediocre loader perks,48,E
,Yesteryear,29,Void,Adaptive,Gambit,,52,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Outlaw
Compulsive Reloader","Dragonfly
Repulsor Brace",Gun and Run,basically Outlast with worse archetype,49,E
,Autumn Wind,29,Kinetic,Rapid,Crucible,,58,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Demolitionist,"Rampage
Elemental Honing",Accelerated Assault,"good archetype and origin, very outdated perks",50,F
,Jian 7 Rifle,10,Arc,Adaptive,"Xur, Dares",,55,No,SLO-12 Post,"Flared Magwell
Alloy Magazine",Grave Robber,"Dragonfly
Swashbuckler",None,niche melee perks + Dragonfly on decent frame,51,F
,The Third Axiom,29,Arc,Adaptive,Zavala,,47,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Feeding Frenzy,Dragonfly,None,dated reload perk + Dragonfly,52,F
,Scalar Potential,29,Arc,Rapid,Starcrossed,,47,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Enlightened Action,"Golden Tricorn
Attrition Orbs",Dragon's Vengeance,good reload perk + questionable 2nd column,53,F
,Piece of Mind,29,Kinetic,Rapid,Vox Obscura,,53,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Auto-Loading Holster
Overflow","Vorpal Weapon
Adrenaline Junkie",Land Tank,no relevant damage perks despite decent origin on good frame,54,F
,Last Perdition,29,Void,Adaptive,Crucible,,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Outlaw,Kill Clip,None,very dated single target perk combo,55,F
,Cold Denial,29,Kinetic,High-Impact,Xur,,46,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Enlightened Action,"Desperado
Swashbuckler",Paracausal Fluid,no relevant damage perks and bad frame,56,F
,Legal Action II,15,Kinetic,High-Impact,"Xur, Dares",,47,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Feeding Frenzy,Frenzy,None,Frenzy on bad frame,57,F
,Forge's Pledge,15,Solar,Adaptive,Iron Banner,,54,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Stats for All
Auto-Loading Holster","One for All
Multikill Clip",Skulking Wolf,"OFA style perk on bad weapon type, bad perks otherwise",58,F
,"Chattering Bone
Pantheon version",29,Kinetic,Lightweight,Pantheon,,49,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",,,Elliptical Orbit,"AO + KT, good kinetic perks, awkward Chaos pairing, good frame",,
