WEAPON,,INFO,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,No Hesitation,24,Solar,Support,54,Yes,Full Bore,Accurized Rounds,"Physic
Demolitionist","Incandescent
Attrition Orbs
Circle of Life",Dealer's Choice,"on-demand survivability on any class, Benevolence synergy",1,S
,Cusp Sempiternal,27,Void,Support,51,Yes,Full Bore,Accurized Rounds,"Reciprocity
Repulsor Brace
Attrition Orbs","Destabilizing Rounds
Master of Arms
Withering Gaze",Frame of Reference,"Void Overshield to allies, great perk pool",2,A
,Reckless Oracle,25,Void,Rapid,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Destabilizing Rounds
Demolitionist","Repulsor Brace
One for All",Photoinhibition,best archetype + arguably best overall splash combo right now,3,A
,Zealous Ideal,28,Solar,Balanced (450RPM),58,Yes,"Fluted Barrel
Arrowhead Brake","Light Heatsink
Overclocked Heatsink","Heal Clip
Attrition Orbs","Incandescent
Burning Ambition",Imperial Allegiance,"similar to Ahab Char, has Incandescent/Attrition/blaster access though",4,A
,Reghusk's Pledge,28,Void,Rapid,53,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Destabilizing Rounds
Demoralize","Repulsor Brace
Golden Tricorn
Attrition Orbs",Skulking Wolf,basically Reckless with a few extra perks and a different origin,5,A
,Abyss Defiant,22,Solar,High-Impact,52,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Heal Clip
Enlightened Action",Incandescent,Cursed Thrall,excellent origin and solid perks held back by frame,6,A
,The Summoner,23,Solar,Adaptive,51,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Heal Clip,"Incandescent
Onslaught",Wild Card,solid origin and perks with better archetype than Abyss,7,A
,The Riposte,24,Void,Lightweight,57,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Enlightened Action",Destabilizing Rounds,None,"great perk pairing and archetype, just no origin",8,A
,Everburning Glitz,27,Kinetic,Rapid,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Bewildering Burst","Kinetic Tremors
Ancillary Ordinance",Fleet Footed,"perks need playtime, but general package looks great",9,A
,VS Pyroelectric Propellant,25,Arc,Adaptive,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Eddy Current",Jolting Feedback,Bray Legacy,"one of the best Jolting users, great utility and origin",10,A
,Adamantite,26,Strand,Support,54,Yes,Full Bore,Accurized Rounds,"Reciprocity
Slice
Demolitionist","Attrition Orbs
Tear
Frenzy",Runneth Over,"worse healing effects vs. No Hesitation, but still useful in-slot",11,A
,Age-Old Bond,21,Void,High-Impact,49,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Dragonfly",Destabilizing Rounds,Explosive Pact,"classic Void combo, just bad frame and mediocre origin",12,B
,Giver's Blessing,27,Kinetic,Rapid,57,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Rewind Rounds
Shoot to Loot
Impromptu Ammunition",Kinetic Tremors,Exhaustive Research,would be excellent with Attrition Orbs but still great,13,B
,"Prosecutor
RotN version",26,Arc,Precision,60,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Dragonfly
Attrition Orbs
Eddy Current","Voltshot
Rolling Storm",Gravity Well,"double splash options vs. Pyroelectric, but worse frame",14,B
,Chroma Rush,25,Kinetic,Rapid,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Subsistence,"Kinetic Tremors
Frenzy",Splicer Surge,"bad 1st column but rapid KT is great, origin not amazing either",15,B
,Origin Story,24,Kinetic,Precision,47,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Demolitionist","Kinetic Tremors
Onslaught",Vanguard's Vindication,solid perk combo but mediocre frame and bad origin,16,B
,Prosecutor,23,Arc,Precision,60,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Dragonfly
Rewind Rounds",Voltshot,Crossing Over,similar to RotN version without Attrition and Gravity Well,17,B
,Duty Bound,28,Kinetic,Adaptive,58,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Bewildering Burst
Stopping Power
Enlightened Action","Rampage
Onslaught",Accelerated Assault,lower utility than AO+KT but post-buff Rampage isn't bad with Bewildering,18,B
,Positive Outlook,21,Void,Precision,59,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Stats for All,"Destabilizing Rounds
Dragonfly
Repulsor Brace",Omolon Fluid Dynamics,no Repulsor pairing for Destab but SFA is still okay,19,B
,Breakneck,23,Kinetic,Precision,45,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Enlightened Action
Shoot to Loot
Pugilist","Kinetic Tremors
Onslaught
Attrition Orbs",Gun and Run,solid reload perk + KT but no Attrition and mediocre origin + frame,20,B
,Braytech Werewolf,25,Kinetic,Precision,55,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Rewind Rounds
Pugilist","Kinetic Tremors
Onslaught",Search Party,Rewind + KT but bad origin and okay frame,21,B
,Shadow Price,24,Arc,Precision,48,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Stats for All","Voltshot
One for All",Stunning Recovery,Attrition + Voltshot pairing but nothing else special,22,B
,Veiled Threat,24,Stasis,Rapid,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Shoot to Loot","Headstone
Desperate Measures",Radiolaria Transposer,Attrition + Headstone + great origin + frame but sadly stasis,23,B
,Intercalary,27,Stasis,Adaptive,57,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Headstone,"Desperate Measures
One for All
Onslaught",Frame of Reference,worse overall vs. Veiled despite offering splash + damage combo,24,B
,Ammit AR2,18,Solar,Precision,48,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Stats for All
Turnabout","Incandescent
One for All
Adaptive Munitions",Omolon Fluid Dynamics,Incandescent vs. Destab on Positive Outlook,25,C
,Auric Disabler,27,Strand,Precision,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Dragonfly
Hatchling
Slice","Desperate Measures
Tear
Onslaught",Omolon Fluid Dynamics,splash + damage option but relatively weak vs. B tier options,26,C
,Ahab Char,27,Solar,Rapid,52,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Heal Clip
Proximity Power
Recycled Energy","Burning Ambition
Binary Orbit
Kill Clip",Bray Legacy,"solid overall package, just missing solid splash perk in 2nd column",27,C
,Krait,16,Stasis,Rapid,45,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Stats for All
Auto-Loading Holster
Subsistence","Headstone
One for All",Veist Stinger,"decent Headstone auto, just missing utility perk",28,C
,Fair Judgment,25,Stasis,Precision,51,Yes,Corkscrew Rifling,Armor-Piercing Rounds,Rimestealer,"Headstone
Onslaught",Vanguard's Vindication,classic Stasis combo but mediocre frame and origin,29,C
,Horror Story,22,Stasis,Precision,47,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Enlightened Action
Demolitionist
Under-Over","Headstone
Frenzy",Nadir Focus,similar to Fair Judgment but not enhanceable,30,C
,False Promises,26,Stasis,High-Impact,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Enlightened Action,Headstone,Paracausal Fluid,similar to Fair Judgment but worse frame,31,C
,Herod-C,16,Stasis,High-Impact,51,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Shoot to Loot
Stats for All
Auto-Loading Holster","Headstone
One for All
Frenzy",Häkke Breach Armaments,similar to False Promises but not enhanceable and worse reload perk,32,C
,Tigerspite,23,Kinetic,Precision,49,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Subsistence,"Kinetic Tremors
Frenzy
Attrition Orbs",Advanced Reflexes,KT decent but mid frame and 1st column,33,C
,Dark Decider,20,Arc,Rapid,54,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Auto-Loading Holster
Subsistence","Voltshot
Dragonfly",Veist Stinger,weird 1st column + Voltshot anti-synergy,34,C
,Ros Arago IV,23,Void,Adaptive,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Rewind Rounds","Onslaught
Attrition Orbs",Wild Card,would be pretty good with Destabilizing access,35,C
,Coronach-22,20,Solar,Adaptive,51,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Feeding Frenzy,Incandescent,Suros Synergy,worst Incandescent auto,36,C
,Rufus's Fury,20,Strand,Rapid,60,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Rewind Rounds
Demolitionist","Frenzy
Hatchling",Harmonic Resonance,good frame + mid origin + outdated perk pool,37,D
,Lethal Abundance,24,Strand,High-Impact,51,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Enlightened Action
Slice","Onslaught
Hatchling
Attrition Orbs",Skulking Wolf,bad frame + good 1st column + okay 2nd column,38,D
,Come to Pass,16,Arc,High-Impact,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Shoot to Loot
Stats for All
Genesis","Dragonfly
One for All
Adaptive Munitions",Psychohack,solid origin but bad frame and okay 1st/2nd column,39,D
,Old Sterling,21,Strand,Adaptive,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Rewind Rounds,"Frenzy
Hatchling",Field-Tested,similar to Rufus's Fury but worse archetype and no Demo in 1st column,40,D
,Sweet Sorrow,16,Arc,Rapid,53,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Stats for All
Auto-Loading Holster",One for All,Land Tank,"SFA + OFA combo on good frame and origin, no splash available",41,D
,The Last Breath,15,Kinetic,Adaptive,52,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Demolitionist
Subsistence","Frenzy
One for All",None,consistency-focused single target perks,42,D
,Arctic Haze,12,Solar,Rapid,50,No,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Outlaw
Subsistence",Dragonfly,None,outdated reload perks + mediocre splash,43,E
