#,Pic,Name,Rarity,Slot,Affinity,Type,Ammo,Column 1,Column 2,Perk 1,Perk 2,Purpose,Usage,Source
1,,Ergo Sum,Exotic,Energy,,,,Enduring Blade,Swordmaster's Guard,"Lightweight Frame
Caster Frame
Wave Frame","Arc Conductor
The Perfect Fifth
Wolfpack Rounds","Splash add clear
Sword boss damage","CE, SE",Pale Heart
1,,Gizmo Weft,Legendary,Kinetic,,,,Quick Launch,"High-Velocity Rounds
Spike Grenades
Sticky Grenades","Air Trigger
Slideshot",Bipod,Boosting jump height,Universal,Event drop
1,,Mint Retrograde,Legendary,Kinetic,,,,Quick Launch,"High-Velocity Rounds
High-Explosive Ordnance","Rewind Rounds
Hatchling
Beacon Rounds","Elemental Honing
Bait and Switch
Chain Reaction
Master of Arms",Everything,Universal,Hawthorne
1,,Praxic Blade,Exotic,Kinetic,,,,Offensive Form,Blade Ammo,Impact Core,Hyperblade,Hyperlining,Universal,Renegades quest
1,,Psi Aeterna IV,Legendary,Energy,,,,Quick Launch,"High-Velocity Rounds
High-Explosive Ordnance","Blast Distributor
Trickle Charge
Beacon Rounds","Elemental Honing
Rolling Storm
One for All",Everything,Universal,S28 portal
1,,Sullen Claw,Legendary,Power,,,,Tempered Edge,Heavy Guard,"Eager Edge
Vorpal Weapon","Assassin's Blade
Whirlwind Blade",Movement,Universal,Equilibrium
1,,The Navigator,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Creating grapple points,Universal,Ghosts of the Deep
1,,The Slammer,Legendary,Power,,,,Tempered Edge,"Heavy Guard
Enduring Guard",Eager Edge,"Cold Steel
Demolitionist","Movement
Overload stunning",Universal,Nightfalls
1,,Theodolite,Legendary,Energy,,,,Quick Launch,"High-Velocity Rounds
Spike Grenades
Sticky Grenades",Reconstruction,Frenzy,Boosting jump height,Universal,Hawthorne
1,,Tractor Cannon,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,"Swappable 10s 30% debuff
Enemy displacement",Universal,New Light quest
1,,Uncivil Discourse,Legendary,Energy,,,,Fluted Barrel,Ionized Heatsink,Air Trigger,Precision Instrument,Lucky Pants burst damage,Universal,Lawless Frontier
2,,A Good Shout,Legendary,Power,,,,Ultralight Rail,"Charged Bolts
Serrated Bolts
Heavy Bolts",Envious Arsenal,High Ground,Sustained boss damage,Universal,S28 portal
2,,Aberrant Action,Legendary,Energy,,,,Volatile Launch,High-Explosive Ordnance,"Heal Clip
Field Prep",Incandescent,"Avoiding primary swaps
Ammo efficient fast add clear",Universal,S24 pool
2,,Alethonym,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Primary ammo jump boosting,Universal,S25 pass
2,,Anarchy,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Trapping spawns,"VoG, DSC",Monument to Lost Lights
2,,Choir of One,Exotic,Energy,,,,Fluted Barrel,"Alloy Magazine
Flared Magwell","Onslaught
Destabilizing Rounds",Fixed,Ranged single target add clear,Universal,Encore
2,,Chronophage,Legendary,Energy,,,,Fluted Barrel,Light Battery,Shoot to Loot,Destabilizing Rounds,"Avoiding primary swaps
Special single shot add clear
Shooting bricks",Universal,S24 pool
2,,Edge of Action,Exotic,Energy,,,,Lightweight Emitter,Appended Mag,Fixed,Short-Action Stock,Providing 5% stackable buff,Universal,Enclave evidence board
2,,Gjallarhorn,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,"Tracking splash damage
Granting Wolfpack rounds",Universal,30th Anniversary
2,,Gunnora's Axe,Legendary,Energy,,,,Fluted Barrel,Ricochet Rounds,Slickdraw,Snapshot Sights,Dying quickly,Universal,Iron Banner
2,,Hezen Vengeance,Legendary,Power,,,,Quick Launch,Impact Casing,"Envious Arsenal
Overflow
Cluster Bomb","Elemental Honing
Bait and Switch",Burst splash damage,Universal,Vault of Glass
2,,IKELOS_SG_V1.0.3,Legendary,Energy,,,,Barrel Shroud,Tactical Mag,"Grave Robber
Pugilist
Subsistence","Surrounded
One-Two Punch
Cascade Point","Burst single target damage
One-two punch","RoN, Prophecy",Operation: Seraph's Shield
2,,Izanagi's Burden,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Ranged single target burst,Universal,Monument to Lost Lights
2,,Lost Signal,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,Auto-Loading Holster,"Vorpal Weapon
One for All
Demolitionist","Trapping doors
Building Transcendence",Universal,S24 pool
2,,Lotus-Eater,Legendary,Energy,,,,Volatile Launch,Tactical Mag,"Repulsor Brace
Shoot to Loot",Destabilizing Rounds,"Avoiding primary swaps
Ammo efficient fast add clear",Universal,Nightfalls
2,,Lumina,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Providing 35% buff
Long distance grapple travel",Universal,Monument to Lost Lights
2,,Motif-41,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Impulse Amplifier
Wellspring","Incandescent
Vorpal Weapon
Attrition Orbs",Splash add clear,Universal,S28 portal
2,,No Hesitation,Legendary,Energy,,,,Fluted Barrel,Accurized Rounds,Physic,"Attrition Orbs
Incandescent","Healing vulnerable teammates
Universal damage boost",Universal,Pale Heart 
2,,Parasite,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Extremely high burst,Universal,Witch Queen quest
2,,Path of Least Resistance,Legendary,Energy,,,,Fluted Barrel,Light Battery,Shoot to Loot,"Voltshot
Harmony","Avoiding primary swaps
Special single shot add clear
Shooting bricks",Universal,Operation: Seraph's Shield
