WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Evening SI4,28,Solar,Adaptive Burst,Tenet of Bravery,,47,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Heal Clip
Impromptu Ammunition","Incandescent
Burning Ambition
Desperate Measures",Accelerated Assault,"very similar to Drang, just different frame (preference)",1,S
,Punching Out,29,Solar,Rapid,Fireteam Ops,,65,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Heal Clip,"Incandescent
Meganeura",Accelerated Assault,"good archetype, great ammo gen, solid perks, great origin",2,S
,Drang,27,Solar,Together Forever,Tenet of Bravery,,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Heal Clip
Loose Change
Collective Pugilism","Incandescent
Burning Ambition
Master of Arms",Vanguard Determination,Heliocentric with better origin and perk diversity,3,S
,Compact Defender,28,Void,Dynamic (360RPM),Renegades,,54,Yes,"Fluted Barrel
Arrowhead Brake","Light Heatsink
Overclocked Heatsink",Destabilizing Rounds,"Repulsor Brace
Frenzy",Accelerated Assault,dynamic frame with best Void combo,4,S
,Brass Attacks,29,Void,Heavy Burst,"World, Banshee",,40,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Impromptu Ammunition","Destabilizing Rounds
Demoralize",Land Tank,not much to improve on this sidearm,5,S
,Seventh Seraph SI-2,29,Void,Lightweight,Cosmodrome,,31,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine
Seraph Rounds","Destabilizing Rounds
Dimensional Shift","Meganeura
Repulsor Brace
Demoralize",Eyes Up,"great void perks, decent origin, good archetype",6,S
,Heliocentric QSc,29,Solar,Lightweight,"World, Banshee",,29,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Heal Clip
Demolitionist","Incandescent
Frenzy
Surrounded",Nadir Focus,"one of the best Heal Clip + Incandescent users, unfortunately mid origin",7,S
,Insurmountable,29,Void,Precision,Kell's Fall,,32,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Air Trigger
Attrition Orbs","Destabilizing Rounds
Surrounded",Dark Ether Reaper,"best Void combo, great origin, shame about the frame",8,S
,The Keening,29,Arc,Adaptive,Crucible,,46,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Voltshot,"Jolting Feedback
Dragonfly",Accelerated Assault,"no sustain perks, good double splash, rest of kit decent",9,A
,Forgiveness,27,Arc,Heavy Burst,Trials,,33,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Voltshot,"Desperate Measures
Kill Clip
Surrounded",Roar of Battle,"damage + splash, solid archetype but mid origin",10,A
,Division,26,Arc,Heavy Burst,Xur,,33,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Eddy Current
Pugilist
Grave Robber","Voltshot
Surrounded",Runneth Over,similar to Forgiveness but no damage + splash combo,11,A
,Fimbulwinter Stitch,28,Arc,Precision,Tenet of Bravery,,26,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Supercharged Magazine
Loose Change
Trickle Charge","Jolting Feedback
Voltshot
Rolling Storm",Dawning Surprise,more versatile than Anonymous despite slightly worse archetype,12,A
,Anonymous Autumn,29,Arc,Lightweight,Shaxx,,30,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Eddy Current
Attrition Orbs
Demolitionist",Voltshot,Field-Tested,"solid everything, could be a bit better in 1st column or origin",13,A
,Brigand's Law,29,Arc,Rapid,Xur,,67,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Threat Detector
Feeding Frenzy
Pugilist","Voltshot
Swashbuckler",Right Hook,worst of the Voltshot options but still good,14,A
,Drang (Baroque),29,Solar,Together Forever,Presage,,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Wellspring
Disruption Break","Incandescent
Swashbuckler",To Excess,"solid Incandescent option, no Heal Clip but decent otherwise",15,A
,Empirical Evidence,29,Kinetic,Heavy Burst,Throne World,,30,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Enlightened Action,Kinetic Tremors,Psychohack,better than Buzzard overall but still not that enticing,16,B
,Buzzard,29,Kinetic,Adaptive,Zavala,,44,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Compulsive Reloader
Fourth Time's the Charm",Kinetic Tremors,Vanguard Determination,"KT not great on sidearms, also outdated perk pool",17,B
,"Liminal Vigil
RotN version",26,Stasis,Heavy Burst,Rite of the Nine,,33,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Headstone
Attrition Orbs
Enlightened Action","Desperate Measures
Rimestealer
Kill Clip",Gravity Well,"Headstone + damage option, good archetype",18,B
,Peacebond,29,Stasis,Adaptive Burst,Iron Banner,,43,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Headstone,"Rimestealer
Frenzy
Desperado",Skulking Wolf,similar to RotN Liminal Vigil but arguably worse perks,19,B
,Liminal Vigil,29,Stasis,Heavy Burst,Spire of the Watcher,,33,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Crystalline Corpsebloom
Headstone","Rimestealer
Frenzy",Tex Balanced Stock,similar to Peacebond but arguably worse perks,20,B
