#,Pic,Role,Name,Column 1,Column 2,Perk 1,Perk 2,Notes
1,,Ability,Celestial Nighthawk,/,/,/,/,Solid damage super with great ranged burst
1,,Ability,Cuirass of the Falling Star,/,/,/,/,Zero effort for best damage super in the game
1,,Main,Ergo Sum,/,/,"Caster Frame
Lightweight Frame
Wave Frame","The Perfect Fifth
Unplanned Reprieve
Wolfpack Rounds",Best sword damage when Transcendent
1,,Buff,Gjallarhorn,Fixed,Fixed,Fixed,Fixed,Exists to augment Hezen users
1,,Main,Hezen Vengeance,Quick Launch,Impact Casing,"Overflow
Envious Assassin
Cluster Bomb","Bait and Switch
Elemental Honing",Best general burst damage
1,,Buff,Sanguine Alchemy,/,/,/,/,"Best damage armor exotic, free 10% for doing nothing"
1,,Ability,Solipsism,/,/,"Spirit of Inmost Light
Spirit of Apotheosis","Spirit of the Star-Eater
Spirit of Verity","Great pairing with Nova, excellent for Transcendence farming"
1,,Utility,Tractor Cannon,Fixed,Fixed,Fixed,Fixed,Easiest long-term 30% debuff source
2,,Main,Bequest,Jagged Edge,Swordmaster's Guard,Relentless Strikes,Surrounded,Very easy Surrounded sword damage
2,,Filler,Choir of One,Fluted Barrel,"Alloy Magazine
Flared Magwell",Short-Action Stock,Onslaught,"Great for object-based damage, like Crypt Security or blights"
2,,Main,Cynosure,Quick Launch,Impact Casing,"Overflow
Envious Assassin
Reconstruction","Elemental Honing
High Ground",Hezen alternative with Reconstruction
2,,Buff,Edge of Action,Lightweight Emitter,Swap Mag,Short-Action Stock,/,Free 5% buff and great refreshable protection for glaive/sword damage
2,,Main,Edge Transit,Quick Launch,"Spike Grenades
Sticky Grenades","Cascade Point
Envious Assassin","Bait and Switch
Explosive Light",Highest legendary burst DPS in the game (with stickies)
2,,Filler,IKELOS_SG_V1.0.3,Barrel Shroud,Tactical Mag,Grave Robber,"One-Two Punch
Surrounded
Cascade Point",Solid One-Two Punch option for energy slot
2,,Main,Ill Omen,Jagged Edge,Swordmaster's Guard,"Relentless Strikes
Attrition Orbs","Whirlwind Blade
Surrounded","Most convenient sword damage option, archetype good with Storm's Keep"
2,,Filler,Izanagi's Burden,Fixed,Fixed,Fixed,Fixed,"Solid burst damage, decent for Cascade/Envious setups"
2,,Buff,Knucklehead Radar,/,/,/,/,"Decent for final stands, might be bugged right now"
2,,Filler,Liturgy,Quick Launch,Spike Grenades,Envious Arsenal,Chill Clip,"Excellent applicator of Chill Clip for Courage, great for Envious rotations"
2,,Main,Lord of Wolves,/,/,/,/,Excellent melee range special weapon total damage with consistent crit access
2,,Filler,Lost Signal,Quick Launch,High-Velocity Rounds,Auto-Loading Holster,"Vorpal Weapon
High Ground",Good for farming dark Transcendence energy
2,,Buff,Lumina,/,/,/,/,35% damage buff guarantee for you and at least one teammate
2,,Reload,Lunafaction Boots,/,/,/,/,Easy to provide reload boost and exotic is swappable
2,,Buff,No Hesitation,Fluted Barrel,Flared Magwell,Physic,Attrition Orbs,"10% universally stackable buff, easy to apply, ""splashes"" teammates unlike Lumina"
2,,Filler,Perfect Paradox,Barrel Shroud,Tactical Mag,"Pugilist
Field Prep","One-Two Punch
Trench Barrel",Best kinetic One-Two Punch and generic melee shotgun
2,,Filler,Praedyth's Revenge,Fluted Barrel,Tactical Mag,"Fourth Time's the Charm
Kinetic Tremors
Envious Arsenal","Elemental Honing
Bait and Switch","Best legendary sniper in the game bar none, pairs great with Tractor/Gjallarhorn"
2,,Filler,Psychopomp,Quick Launch,High-Velocity Rounds,Envious Arsenal,"Elemental Honing
Frenzy",Best energy slot DPS perks for an area denial
2,,Main,Still Hunt,Fixed,Fixed,Fixed,Fixed,"Still solid burst damage post-nerf, synergizes well with rotations and long phases"
2,,Ability,Stoicism,/,/,"Spirit of the Eternal Warrior
Spirit of Inmost Light","Spirit of the Star-Eater
Spirit of Synthoceps",Equal damage to Cuirass but with a 30s x4 arc surge bonus
2,,Ability,Synthoceps,/,/,/,/,Still relevant for BoW grapple melee boosts or for glaive damage
2,,Main,The Queenbreaker,Fixed,Fixed,Fixed,Fixed,Great damage profile and ease of use even without Particle
2,,Main,Thunderlord,Fixed,Fixed,Fixed,Fixed,Very convenient damage option that has been buffed into relevance
2,,Filler,Unvoiced,Fluted Barrel,Assault Mag,Redirection,"Elemental Honing
Bait and Switch",Best legendary special burst thanks to Redirection QoL buff
2,,Main,VS Chill Inhibitor,Quick Launch,Spike Grenades,"Envious Arsenal
Cascade Point","Bait and Switch
Surrounded
Explosive Light","Worse off thanks to HGL nerf and Hezen launch, but still decent for solo burst"
